name,atom,M0,P11
HID,C,0.512094939526,5.71576145 0.0 0.0 5.71576145 0.0 5.71576145
HSD,C,0.512094939526,5.71576145 0.0 0.0 5.71576145 0.0 5.71576145
HISD,C,0.512094939526,5.71576145 0.0 0.0 5.71576145 0.0 5.71576145
HISA,C,0.512094939526,5.71576145 0.0 0.0 5.71576145 0.0 5.71576145
HID,HB,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HSD,HB,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HISD,HB,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HISA,HB,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HID,HB2,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HSD,HB2,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HISD,HB2,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HISA,HB2,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HID,1HB,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HSD,1HB,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HISD,1HB,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HISA,1HB,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HID,HB1,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HSD,HB1,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HISD,HB1,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HISA,HB1,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HID,HB3,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HSD,HB3,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HISD,HB3,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HISA,HB3,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HID,2HB,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HSD,2HB,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HISD,2HB,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HISA,2HB,0.108479001426,2.25059675 0.0 0.0 2.25059675 0.0 2.25059675
HID,CG,0.13326733137,8.90556845 0.0 0.0 8.90556845 0.0 8.90556845
HSD,CG,0.13326733137,8.90556845 0.0 0.0 8.90556845 0.0 8.90556845
HISD,CG,0.13326733137,8.90556845 0.0 0.0 8.90556845 0.0 8.90556845
HISA,CG,0.13326733137,8.90556845 0.0 0.0 8.90556845 0.0 8.90556845
HID,O,-0.46273509074,7.86000758 0.0 0.0 7.86000758 0.0 7.86000758
HSD,O,-0.46273509074,7.86000758 0.0 0.0 7.86000758 0.0 7.86000758
HISD,O,-0.46273509074,7.86000758 0.0 0.0 7.86000758 0.0 7.86000758
HISA,O,-0.46273509074,7.86000758 0.0 0.0 7.86000758 0.0 7.86000758
HID,ND,-0.223066642316,6.75839518 0.0 0.0 6.75839518 0.0 6.75839518
HSD,ND,-0.223066642316,6.75839518 0.0 0.0 6.75839518 0.0 6.75839518
HISD,ND,-0.223066642316,6.75839518 0.0 0.0 6.75839518 0.0 6.75839518
HISA,ND,-0.223066642316,6.75839518 0.0 0.0 6.75839518 0.0 6.75839518
HID,ND1,-0.223066642316,6.75839518 0.0 0.0 6.75839518 0.0 6.75839518
HSD,ND1,-0.223066642316,6.75839518 0.0 0.0 6.75839518 0.0 6.75839518
HISD,ND1,-0.223066642316,6.75839518 0.0 0.0 6.75839518 0.0 6.75839518
HISA,ND1,-0.223066642316,6.75839518 0.0 0.0 6.75839518 0.0 6.75839518
HID,CD,-0.0408870215945,8.81266076 0.0 0.0 8.81266076 0.0 8.81266076
HSD,CD,-0.0408870215945,8.81266076 0.0 0.0 8.81266076 0.0 8.81266076
HISD,CD,-0.0408870215945,8.81266076 0.0 0.0 8.81266076 0.0 8.81266076
HISA,CD,-0.0408870215945,8.81266076 0.0 0.0 8.81266076 0.0 8.81266076
HID,CD1,-0.0408870215945,8.81266076 0.0 0.0 8.81266076 0.0 8.81266076
HSD,CD1,-0.0408870215945,8.81266076 0.0 0.0 8.81266076 0.0 8.81266076
HISD,CD1,-0.0408870215945,8.81266076 0.0 0.0 8.81266076 0.0 8.81266076
HISA,CD1,-0.0408870215945,8.81266076 0.0 0.0 8.81266076 0.0 8.81266076
HID,CD2,-0.0408870215945,8.81266076 0.0 0.0 8.81266076 0.0 8.81266076
HSD,CD2,-0.0408870215945,8.81266076 0.0 0.0 8.81266076 0.0 8.81266076
HISD,CD2,-0.0408870215945,8.81266076 0.0 0.0 8.81266076 0.0 8.81266076
HISA,CD2,-0.0408870215945,8.81266076 0.0 0.0 8.81266076 0.0 8.81266076
HID,HD1,0.274699037844,1.60714099 0.0 0.0 1.60714099 0.0 1.60714099
HSD,HD1,0.274699037844,1.60714099 0.0 0.0 1.60714099 0.0 1.60714099
HISD,HD1,0.274699037844,1.60714099 0.0 0.0 1.60714099 0.0 1.60714099
HISA,HD1,0.274699037844,1.60714099 0.0 0.0 1.60714099 0.0 1.60714099
HID,CE,0.0428181373013,8.62652566 0.0 0.0 8.62652566 0.0 8.62652566
HSD,CE,0.0428181373013,8.62652566 0.0 0.0 8.62652566 0.0 8.62652566
HISD,CE,0.0428181373013,8.62652566 0.0 0.0 8.62652566 0.0 8.62652566
